SMILES of Virtual Hit Molecule;Enamine ID;Rank
FC(F)(F)c1nc(N2CCC(C(O)c3ccc(OC)cc3)CC2)c2nc[nH]c2n1;Z2185939566;22
O=C(NCCc1cc(OC)c(O)c(OC)c1)Cn1c2ncnc(N)c2nc1;Z2646187688;22
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C(CC)C(c5ccc(C)cc5)CC4)c3nc2)O1;Z2091451191;22
O=C(N(CC1(O)c2c(cccc2)CC1)C)Cn1c2ncnc(N)c2nc1;Z2457224162;22
O(C)c1c(C)cc(C2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CCC2)cc1;Z2092354597;22
Clc1cc(CC2CN(c3nc4nc[nH]c4cn3)CCC2)c(OC)cc1;s_27____5536628____15397812;22
O=C(N1c2c(CC)cccc2CC1)[C@H]1O[C@@H](Cn2c3ncnc(N)c3nc2)CC1;Z2767297935;22
O=C(OCC(=O)N1C(c2cc(OC)c(OC)cc2)CCC1)Cn1c2ncnc(N)c2nc1;Z1352235596;22
O=C(OC)C(CNC(=O)Cn1c2ncnc(N)c2nc1)Cc1ccc(OCC)cc1;Z1145538770;22
Fc1cc(CC2(C(=O)N(CCn3c4ncnc(N)c4nc3)C)CC2)c(OC)cc1;Z3359819490;22
O=C(N(CCn1c2ncnc(N)c2nc1)C)C1c2c(ccc(OC)c2)CCC1;Z2844353740;23
O=C1N(C)c2[nH]c(N3CC4(Oc5c(cccc5)CC4)CCC3)nc2C(=O)N1;Z3559334788;23
O=C(NC1C(OC)CC(c2ccccc2)CC1)CCn1c2ncnc(N)c2nc1;Z2639282281;23
S(CCC(=O)NCC1Oc2c(cc(F)cc2)CC1)c1ncnc2[nH]cnc12;Z3642833622;23
O=C(OCC(=O)NC(c1ccc(OC)cc1)C1CC1)Cn1c2ncnc(N)c2nc1;Z1352235642;23
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(NCCN4C(C)CCc5c4cccc5)c3nc2)O1;Z2089350714;23
O=C(NCC1(C)N(c2ncnc3nc[nH]c23)CCC1)C(OC)C1CCC1;m_274310____15937462____14121518____12649998;23
O(C)c1cc(CC2CCN(c3nc4n(C)cnc4cn3)CC2)c(O)cc1;Z4027520253;24
Clc1nc(C(=O)N2CC(c3ccc(OC)cc3)C(C)CC2)c2nc[nH]c2n1;Z4087858360;24
Clc1nc(N2CCC(C(=O)c3ccc(O)cc3)CC2)c2ncn(C)c2n1;Z3718865475;24
O=C(NC(CO)C1c2c(cccc2)CC1)Cn1c2ncnc(N)c2nc1;s_22____14793568____3937074;24
O=C(C(O)COC)N1C(C)CC(NC(=O)c2ncnc3nc[nH]c23)C1;m_275592____14115192____15840596____15863234;24
Fc1c(O)cccc1C1CN(Cc2[nH]c3N(C)C(=O)N(C)C(=O)c3n2)CCC1;Z3521140565;24
Oc1nc(N2CCC(CCc3ccc(O)cc3)CC2)nc2ncn(C)c12;s_27____215745____15341790;25
S(CCC(=O)NC1c2c(cc(OC)cc2)CCC1)c1ncnc2[nH]cnc12;Z2796439078;25
