SMILES of Virtual Hit Molecule;Enamine ID;Rank
Fc1cc2OC(C(=O)N3C4(CO)CC(C3)CCC4)=CC(=O)c2cc1;Z3590163460;17
O=C(NCCC1C2CC(C1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____2081372____16808382;17
O=C(N1CC(O)(Cc2onc(C(C)C)n2)CCC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z2653912141;18
O=C(OC)C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)C1c2c(cccc2)CC1;Z3612302150;18
FC(F)(F)C(NC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC1NCCCC1;Z3889056007;18
Fc1cc2C(=O)C=C(C(=O)N(CCCC)[C@H]3[C@H](OC)CCCC3)Oc2cc1;Z2325379227;18
Clc1cc2C(=O)C=C(C(=O)N3C(COC)(C4CC4)CCC3)Oc2cc1;Z1967607962;18
Fc1cc2C(=O)C=C(C(=O)N3C4(CC(C(=O)OC)C3)CCOCC4)Oc2cc1;Z3762702238;18
O=C(NC1C2(C(OC)C1C)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3990945526;18
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2C(C1)CCC(N(C)C)C2;Z3176691424;18
Brc1cc2C(=O)C=C(C(=O)N3[C@H](CO)C[C@H]4[C@@H]3CCC4)Oc2cc1;Z3588358716;18
Brc1cc2OC(C(=O)N3[C@@H]4[C@H](COC)C[C@H]3CC4)=CC(=O)c2cc1;Z3988844407;18
O=C(NCC1(O)c2c(cc(OC)cc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3892784844;19
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3892774427;19
O=C(NC1C2(N(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CC1)CCC2)CO;m_275592____15865720____15841508____14129018;19
O=C(N1C2CN(C)C(=O)CC1CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992788779;19
O=C(N1C[C@@H](CO)[C@H](C2CCOCC2)C1)C1=C(C)C(=O)c2c(O1)cccc2;Z3911819863;19
O=C(Nc1cc2C(=O)C=COc2cc1)N1[C@@H](COC)C[C@@H](O)C1;Z3176690097;19
O=C(N1C2C(OC)CCC1C(OC)CC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3742277119;19
O=C(NC12C3(OC(CO)(C1)C2)CCC3)c1cc2OC=CC(=O)c2cc1;Z3651603058;19
FC(F)(F)C(O)C1N(C(=O)C2=C(C)C(=O)c3c(O2)cccc3)CCCC1;Z3202640551;19
O=C(NCC1(C)C(C2CC2)OCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3990992909;19
O(C(C)(C)C)C(=O)N1C2C(CNC(=O)c3cc4OC=CC(=O)c4cc3)CC1CC2;Z3640675444;19
FC1(F)C2(C1)CC(CNC(=O)C=1Oc3c(c(OC)ccc3)C(=O)C=1)CC2;Z3992785722;19
O=C(N1CC2(C(CO)C1)CCOCC2)c1cc2OC=CC(=O)c2cc1;Z3611364130;19
Brc1cc2OC(C(=O)N3C[C@@H]4[C@H](OC)CC[C@@H]4C3)=CC(=O)c2cc1;Z3896194510;19
O=C(N1CC2C(C(=O)OC)CC(C1)CC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3911199173;20
O=C(N1[C@@H]2[C@H](CN)C[C@H]1CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3889129523;20
O=C(NC[C@]12[C@H](NCC1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888445660;20
O=C(OC1C(=O)N(C2CCCCC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3865419285;20
Fc1cc2OC(C(=O)N3CC(F)(C(=O)OC)C(C4CC4)C3)=CC(=O)c2cc1;Z4112550438;20
FC1(F)CCC(OCCO)(CNC(=O)c2cc3OC=CC(=O)c3cc2)CC1;Z2718511576;20
O=C(CC(O)CC)N1CC(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)(C)C1;m_275592____15865080____14135622____15859710;20
O=C(NC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)CC(C)(C)C1)CO;m_275592____15865446____15841508____14129018;20
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(OC(CC)C1)COCCC2;Z3176688807;20
FC(F)C1CCC(OC)(CNC(=O)C2=C(C)C(=O)c3c(O2)cccc3)CC1;Z3086219099;20
Fc1cc2C(=O)C=C(C(=O)N3C(C4(OCCC4)C3)C3CC3)Oc2cc1;Z2323886988;20
O=C(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)[C@H]1C[C@@H](C)CCC1;Z4094712227;20
O=C(CC)N1CC(O)(C(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)C)C1;m_275592____15865374____14135622____13186202;20
O=C(N1CCN([C@H]2[C@@H]3C[C@H](C2)CC3)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907478285;21
O=C(NC1C(C(=O)OC)CCNCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3700223928;21
O=C(NC12COC(C1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____15149284____16808382;21
Fc1c(C)ccc(C(NC(=O)c2cc3OC=CC(=O)c3cc2)C(O)C2CC2)c1;Z3625636069;21
O=C(NCC1C2C1CN(CCCO)C2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14114272____14122416____14147082;21
O=C(OC)C1(C2CCOCC2)CN(C(=O)C2=C(C)C(=O)c3c(O2)cccc3)CC1;Z3596888886;21
O=C(OC(C)(C)C)NC(C)C1N(C(=O)c2cc3OC=CC(=O)c3cc2)CCCC1;Z1994304496;21
O=C(N(CC1(O)CCOCC1)C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991096634;22
O=C(Nc1cc2C(=O)C=COc2cc1)N1CCC(c2c(OC)cccc2)CCC1;Z3176690792;22
O=C(OC)[C@H]1CN(C(=O)c2cc3OC=CC(=O)c3cc2)C[C@@H](C(C)(C)C)C1;Z3623171520;22
O=C(N1CCC(NCC(C)C)(CO)CC1)c1cc2OC=CC(=O)c2cc1;Z2914631467;22
O=C(OC)CC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C2(C1)CCOCC2;Z3909823022;22
Clc1cc2C(=O)C=C(C(=O)N3C(CO)(C)CC(OC)C3)Oc2cc1;Z2783244495;22
O=C(N1CCC(NCC2CC2)(CO)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3985743823;22
Clc1cc2C(=O)C=C(C(=O)N3C[C@@H](C(=O)OC)[C@H](C(C)C)C3)Oc2cc1;Z3714385651;22
O=C(Nc1cc2C(=O)C=COc2cc1)N1C[C@H]2[C@@H](C(C)(C)CC1)OCC2;Z3599057358;22
O=C(OC(C)(C)C)N[C@H]1[C@@H]2N(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CC[C@@H]2CC1;Z3917261980;22
O=C(N1C2(c3sccc3)C(CC1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992774833;22
O=C(N(CCC1N(C)CCCC1)C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____6008902____16808382;22
Clc1cc2OC(C(=O)N3C(C(C)C)CC(N4CCCC4)C3)=CC(=O)c2cc1;Z3371002165;22
O=C(NC(C)C1CN(C2CCC2)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3083610509;22
O=C(NC1(CO)CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C1)CCCC;m_275592____15865366____13187034____14129018;22
O=C(N1[C@@H]2[C@H]([C@H](OC)C1)COC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992784737;22
O=C(NC12COC(CN)(CC1)CC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;m_240690____15266586____16808398;23
O=C(C)N1C[C@@H]2[C@@H](N(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)CC2)CC1;Z4026023629;23
FC(F)(F)CN1C(=O)C(Oc2cc3OC=C(c4ccc(OC)cc4)C(=O)c3cc2)CCC1;Z1607286671;23
O=C(N(Cc1ccccc1)CC1(O)c2c(cccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z1997225580;23
O=C(N[C@H]1[C@@H]2[C@@](C(C)C)(C2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z4078608565;23
O=C(N1[C@H](CO)C[C@@H]2OCC[C@H]12)c1cc2OC=CC(=O)c2cc1;Z3206125610;23
O=C(N1[C@@H](CO)C[C@@H](C(C)(C)C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z4095249742;24
O=C(N1CC2(CSCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992200523;24
O=C(CO)N1C2CC(CNC(=O)C=3Oc4c(C(=O)C=3)cccc4)(OC2)C1;m_275592____15865162____14135622____15855972;24
O=C(N1CC2(OCC1)CNCCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888620156;24
O=C(CO)N1C(C)C(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)C(C)CC1;m_275592____15865684____14135622____15855972;24
O(C(C)(C)C)C(=O)[C@@H]1[C@H](NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CCC1;Z3992757776;24
FC(F)(F)[C@H]1C[C@@H](CNC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)NC1;Z3889014326;24
O(C)c1ccc(C=2C(=O)c3c(c(CCN4C(=O)CC(C(C)(C)C)C4)c(O)cc3)OC=2)cc1;Z1651521127;25
O=C1C(c2ccccc2)=C(C)Oc2c(CCN3C(=O)CC(C(C)(C)C)C3)c(O)ccc12;Z1651521302;25
O=C(NC(CO)C1c2c(cccc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888224047;25
Fc1c(O)cc(C2CN(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)CCC2)cc1;Z3888946014;25
O=C(NC1CN(C)C2(C1)CCOCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992785406;25
O=C(N)CC1N(C(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CC(C)(C)C1;s_22____16809806____16808382;25
O=C(N1C(C)C(C(=O)N)CCC1C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____11945900____16808382;25
O=C(CO)N1CC2C(NC(=O)C=3Oc4c(C(=O)C=3)cccc4)CC2C1;m_275592____15865142____14135622____15855972;25
