SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCCC1(O)CN(c2nc3nc[nH]c3cn2)C1)C1CC(N(C)C)C1;m_274310____15937540____15944400____15870074;17
O=C(N1CC(O)(CNc2nc3nc[nH]c3cn2)C1)C1N(C)C(=O)CCC1;m_274310____15938070____14120494____15870074;17
O=C(CO)N1C2C(CNC(=O)c3ncnc4nc[nH]c34)(CCC1)CCC2;m_275592____15865790____15843004____15855972;17
O=C(NC[C@@H](Nc1ncnc2n(CC)cnc12)CO)CC1COCC1;m_274310____15937766____12658096____12359766;17
O=C(NCCC1(O)CN(c2ncnc3n(C4CC4)cnc23)C1)CC1CC1;m_274310____15937540____12185810____15870250;17
FC1(F)CCC(OC)(CNC(=O)CCc2[nH]c3C(=O)NC(=O)N(C)c3n2)CC1;Z2644029647;17
O=C(Nc1ncnc2[nH]cnc12)C(OC(=O)C1(NC(=O)C)c2c(cccc2)CCC1)C;Z1303835185;17
O=C(C(C)n1c2ncnc(N)c2nc1)N1[C@H](c2c(OC)cccc2)C[C@H](C)CC1;Z2719771317;18
O=C(CCn1c2ncnc(N)c2nc1)N1C(c2c(OC)cccc2)CCC(C)C1;Z2639128025;18
Clc1ccc(CC2(O)CN(C(=O)CCSc3ncnc4[nH]cnc34)CC2)cc1;Z4053439943;18
O(C)C1C2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC3C2CC1C3;Z2094319551;18
FC(F)(F)c1nc(NCC2(O)c3c(cc(OC)cc3)CC2)nc2[nH]cnc12;Z3831246111;18
O=C(Cn1c2ncnc(N)c2nc1)N1CCC(Nc2cc(OC)cc(OC)c2)CC1;Z1382668032;18
O=C(CC(O)(COC)C)N1C[C@H]2C(Nc3nc4nc[nH]c4cn3)[C@H]2C1;m_274310____15937538____15944488____15870074;18
O=C(C)N1[C@H](C(=O)NC2CC(Nc3nc4nc[nH]c4cn3)C2)C[C@@H](O)C1;m_274310____14112710____15944884____15870074;18
O=C(NC1(C(=O)OC)COc2c(cccc2)C1)C(C)n1c2ncnc(N)c2nc1;Z2648334505;18
O=C(NC[C@@H](Nc1nc2nc[nH]c2cn1)CO)[C@H]1[C@H](c2ccccc2)C1;m_274310____15937766____14117822____15870074;18
