SMILES of Virtual Hit Molecule;Enamine ID
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C(O)CC1)CCOCC2;Z3599058310
O=C(OC)C1(NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)C2C(C2)CC1;m_22____15106204____16808382
O=C(NC1CN(C)C2(C1)CCOCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992785406
O=C(NC1C2(C(Nc3ncnc4c3[nH]c(C)c4)C1)CCC2)C(O)COC;m_274310____14113314____15940890____15869892
O=C(C)N1C[C@@H]2[C@@H](N(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)CC2)CC1;Z4026023629
O=C(N1C2([C@H](O)[C@H](O)C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z4026881023
O=C(NCC1(O)C(C)(C)C(OCC)C1)CCn1c2ncnc(N)c2nc1;Z2637129154
O=C(N1C2C(O)CCC(C)(C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3591625208
O=C(Nc1cc2C(=O)C=COc2cc1)N1[C@H](C(=O)O)C[C@H]2[C@@H]1CCC2;Z3254555959
Fc1cc2OC(C(=O)NC(C(=O)OC)C3CC(OC)CCC3)=CC(=O)c2cc1;Z2477118450
Clc1cc2OC(C(=O)NCC(C)(C)C3(O)COCCC3)=CC(=O)c2cc1;Z2647274141
O(C)c1cc(OC)cc(C2(O)CCN(c3ncnc4n(CC)cnc34)CC2)c1;Z1416577159
O(C)c1cc(OC)cc(C2(O)CCN(c3n(C)c4C(=O)NC(=O)N(C)c4n3)CC2)c1;Z1416576816
O=C(N1C[C@@H](CO)[C@H](C2CCOCC2)C1)C1=C(C)C(=O)c2c(O1)cccc2;Z3911819863
Clc1cc2OC(C(=O)NC(C(O)C3CCCCC3)CO)=CC(=O)c2cc1;Z2915512464
Clc1cc2OC(C(=O)N3[C@@H]4[C@@](CO)(CCC3)CCCC4)=CC(=O)c2cc1;Z3711281072
O=C(NC1C(O)(C)CCC1)CN1c2c(Sc3c1cccc3)cccc2;s_22____13973594____12216490
O=C1N(C)c2[nH]c(N3CC4(Oc5c(cccc5)CC4)CCC3)nc2C(=O)N1;Z3559334788
O(C)c1c(OC)ccc(CCC2N(c3ncnc4n(C)cnc34)CCCC2)c1;Z1343343974
Fc1cc2OC(C(=O)N3C4C(O)CCC(C)(C3)C4)=CC(=O)c2cc1;Z3591619525
FC(F)(F)C(NC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC1NCCCC1;Z3889056007
O=C(NCC1(O)C(C)CCC1)c1cc2OC=CC(=O)c2cc1;Z2232404424
O=C(NCC(O)CCC1CC1)c1cc2OC=CC(=O)c2cc1;Z3652073800
O=C(N1[C@@H]([C@H](O)CC1)c1c(OC)cccc1)C1=C(C)C(=O)c2c(O1)cccc2;Z3585820662
Fc1c(OC)ccc(C(=O)CCC(=O)NCC2OCCN(c3ncnc4[nH]cnc34)C2)c1;Z1451077125
O=C(N(CCCn1c2ncnc(N)c2nc1)C)C1C(C)(c2c(OC)cccc2)C1;Z2801706050
Fc1cc2OC(C(=O)N3C(C)CCC4OC(C(=O)OC)CC34)=CC(=O)c2cc1;Z2077015534
O=C(N1[C@H]2[C@H](O)CC[C@H]2CC1)c1cc2OC=CC(=O)c2cc1;Z2723095745
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(OC[C@H]3[C@@H]2C3)CCC1;Z3599058896
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)CC(OC)CC1;m_272330____13770678____9701516
O=C(NC12C3(OC(C)(C1)C2)CCNCC3)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888822171
O=C(NCC(O)CNc1ncnc2nc[nH]c12)CC1(COC)CC1;m_274310____14112866____12658402____12649998
O=C(NCCn1c2ncnc(N)c2nc1)CC1(O)CN(C(=O)C)CCC1;Z2719726491
FC(F)(F)CCC(O)(CNC(=O)c1cc2OC=CC(=O)c2cc1)CC;Z2964057252
FC(F)(F)CCC1(O)CCN(C(=O)Nc2cc3C(=O)C=COc3cc2)CC1;Z3176691503
FC(F)(F)c1nc(N2CCC(C(O)c3ccc(OC)cc3)CC2)c2nc[nH]c2n1;Z2185939566
O=C(NCC(O)(C)C1CCC(C)CC1)C1=C(C)C(=O)c2c(O1)cccc2;s_22____16504292____13952258
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C2C(C)C(O)CC1CC2;Z2784651818
O(C)C1C2N(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC3C2CC1C3;Z2094319551
Fc1cc2OC(C(=O)N3C[C@@]4(CO)[C@@H](C3)CCCC4)=CC(=O)c2cc1;Z3639515164
O(C)c1cc(OC)cc(CCC2CCN(c3ncnc4n(C)cnc34)CC2)c1;Z1172342004
Fc1c(CC(=O)N2C(C(=O)OCCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC(O)C2)cccc1;Z794108010
S(CCC(=O)N(C(CCc1ccc(O)cc1)C)C)c1ncnc2[nH]cnc12;Z3603722444
O=C(N1[C@H]2[C@H](O)C[C@@H](C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3613080393
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC(CCc5ccccc5)(C)CC4)c3nc2)O1;Z2091630677
O=C(N1CC(O)CN(c2ncnc3nc[nH]c23)CC1)C12COC(C1)CC2;m_274310____15937446____15944796____12649998
Clc1nc(NC2CC(O)(CNC(=O)C(OC)C)C2)c2[nH]cnc2n1;m_274310____15938284____12657992____15867404
O=C(NC1[C@H]2[C@@H]1CN(c1nc3nc[nH]c3cn1)C2)C1(O)C2CC(C1)CC2;m_274310____14112724____15945086____15870074
Fc1cc2OC(C(=O)N3CC(F)(C(=O)OC)C(C4CC4)C3)=CC(=O)c2cc1;Z4112550438
O=C(OC)[C@H]1[C@H](c2ccc(O)cc2)CN(c2n(C)c3C(=O)NC(=O)N(C)c3n2)C1;Z2272917983
Fc1cc2C(=O)C=C(C(=O)N3[C@H](CC(=O)OC)[C@@H]4C[C@H]3CC4)Oc2cc1;s_11____16903418____55582
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1CC(C)(C)CC(O)CC1;Z2714259467
O=C(NC1(CNc2nc3nc[nH]c3cn2)CCCC1)C(O)COC;m_274310____14112810____15940890____15870074
O=C(C)N1CC(O)(CNc2nc(C(=O)OC)c3nc[nH]c3n2)CCC1;m_274310____15938210____12185798____15870962
O(C)c1c(C2CN(c3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CC2)cccc1;Z2091255507
O=C(NCCC1N(c2nc3nc[nH]c3cn2)CCCC1)C(O)COC;m_274310____15937814____15940890____15870074
O=C(N1CCN([C@H]2[C@@H]3C[C@H](C2)CC3)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907478285
O=C(Nc1cc2C(=O)C=COc2cc1)N1[C@@H](COC)C[C@@H](O)C1;Z3176690097
O=C(C(C)n1c2ncnc(N)c2nc1)N1c2c(cc(OC)cc2)CC(C(C)C)C1;Z2641753037
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1[C@@H]2[C@@H](O)[C@@H](O)[C@H](C1)C2;Z3609667521
O=C(NCC(O)COc1cc2c(NC(=O)CC2)cc1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z846268722
Fc1cc2C(=O)C=C(C(=O)N3C4C(C(=O)OC)CC(C3)CC4)Oc2cc1;Z2326786655
O=C(N1C2C(CO)C(C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3611183253
O=C(NC1(C(=O)OC)CC(O)C1)CN1c2c(Sc3c1cccc3)cccc2;Z3204064440
O(C)c1cc2c(C(CNc3ncnc4n([C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)cnc34)CCC2)cc1;Z2092430059
O=C(NCC(O)CNc1nc2ncn(C)c2cn1)C1(COC)CCC1;m_274310____14112866____14118856____15871096
O=C1N(C)C(=O)c2n(CCN3C4CC(O)(Cc5ccccc5)CC3CC4)cnc2N1C;Z2170056409
O=C(N1CC2(CSCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992200523
O=C(NC1C(C(=O)OC)CCNCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3700223928
S(CCC(=O)NC1c2c(cc(OC)cc2)CCC1)c1ncnc2[nH]cnc12;Z2796439078
Clc1cc2C(=O)C=C(C(=O)N3C4C(CO)C(C3)CCC4)Oc2cc1;Z3611187100
OC(CN(CCn1c2ncnc(N)c2nc1)C)C1c2c(cccc2)CCC1;Z3650965158
Fc1c(O)ccc(CC(NC(=O)c2ncnc3nc[nH]c23)C(=O)OC)c1;s_22____14174274____12807966
O(C)c1cc(CN(CC(C)C)c2ncnc3n([C@H]4[C@H](O)[C@H](O)[C@@H](CO)O4)cnc23)ccc1;Z2090160957
O=C(NC1C(O)CN(C(=O)C2C3(C2)CC3)CC1)c1ncnc2nc[nH]c12;m_275592____14114572____15843004____14134174
O=C(C(C)n1c2ncnc(N)c2nc1)N1C(C2COCCC2)CC(O)C1;Z2640873666
O=C(CO)N1C2CC(CNC(=O)C=3Oc4c(C(=O)C=3)cccc4)(OC2)C1;m_275592____15865162____14135622____15855972
FC(F)(F)CN1C(=O)C(Oc2cc3OC=C(c4ccc(OC)cc4)C(=O)c3cc2)CCC1;Z1607286671
O=C(N(Cc1ccccc1)CC1(O)c2c(cccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z1997225580
O=C(NCC12OCCC(CO)(C1)C2)CN1c2c(Sc3c1cccc3)cccc2;Z4077769096
FC1(F)CCC(OCCO)(CNC(=O)c2cc3OC=CC(=O)c3cc2)CC1;Z2718511576
O=C(N1CCC(C(=O)c2ccc(O)cc2)CC1)c1ncnc2nc[nH]c12;s_22____7104936____12807966
O=C(CN1c2c(Sc3c1cccc3)cccc2)N1C(C(=O)O)CC(OC)CC1;Z2755453751
Fc1cc2OC(C(=O)N3C4C(O)CCCC3CC4)=CC(=O)c2cc1;Z3605684966
O=C(O)CC(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)C1CC1;s_269946____12116214____16808394
O=C(N)CC1N(C(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CC(C)(C)C1;s_22____16809806____16808382
O=C(N1C(C)C(C(=O)N)CCC1C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____11945900____16808382
O=C(N1CC2(OCC1)CNCCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888620156
O=C(OC)[C@H]1CN(C(=O)c2cc3OC=CC(=O)c3cc2)C[C@@H](C(C)(C)C)C1;Z3623171520
O=C(OC)[C@@]1(NC(=O)C2=C(C)C(=O)c3c(O2)cccc3)C(C)(C)[C@H](OCC)C1;Z4094031869
O=C(NCC(O)CNc1ncnc2nc[nH]c12)C1CC(CC)OCC1;m_274310____14112866____14120730____12649998
