SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCC(O)COc1cc2c(NC(=O)CC2)cc1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z846268722;42
O=C(CC(O)CC)N1CC(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)(C)C1;m_275592____15865080____14135622____15859710;42
Clc1cc2C(=O)C=C(C(=O)N3C(CO)(C)CC(OC)C3)Oc2cc1;Z2783244495;42
Fc1cc2OC(C(=O)N3C4C(O)CCC(C)(C3)C4)=CC(=O)c2cc1;Z3591619525;43
O=C(N1CCC(NCC2CC2)(CO)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3985743823;43
Fc1cc2C(=O)C=C(C(=O)N3[C@H](CC(=O)OC)[C@@H]4C[C@H]3CC4)Oc2cc1;s_11____16903418____55582;44
Fc1cc2C(=O)C=C(C(=O)N3C4C(C(=O)OC)CC(C3)CC4)Oc2cc1;Z2326786655;44
O=C(NC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)CC(C)(C)C1)CO;m_275592____15865446____15841508____14129018;44
O=C(N(C)C1(CN)CCCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888403320;44
Fc1cc2OC(C(=O)NC(C(=O)OC)C3CC(OC)CCC3)=CC(=O)c2cc1;Z2477118450;45
O=C(NCC(O)(C)C1CCC(C)CC1)C1=C(C)C(=O)c2c(O1)cccc2;s_22____16504292____13952258;45
O=C(N1C2C(CO)C(C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3611183253;45
O=C(CO)N1C(C)C(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)C(C)CC1;m_275592____15865684____14135622____15855972;45
O=C(NC1CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C(C)C1)C(O)(C)C;m_275592____14115192____14135622____15857148;45
Clc1cc2OC(C(=O)NCC(C)(C)C3(O)COCCC3)=CC(=O)c2cc1;Z2647274141;46
O=C(N1C(C(=O)OC)CCC(C(=O)OC)C1)C=1Oc2c(C(=O)C=1)cccc2;Z2718748279;46
Fc1cc2C(=O)C=C(C(=O)N(CCCC)[C@H]3[C@H](OC)CCCC3)Oc2cc1;Z2325379227;46
O=C(N[C@H]1[C@@H]2[C@@](C(C)C)(C2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z4078608565;46
Fc1cc2OC(C(=O)N3C(C)CCC4OC(C(=O)OC)CC34)=CC(=O)c2cc1;Z2077015534;47
Clc1cc2C(=O)C=C(C(=O)N3C4(CC(N)C3)COCCC4)Oc2cc1;Z3521197007;47
Fc1c(C)ccc(C(NC(=O)c2cc3OC=CC(=O)c3cc2)C(O)C2CC2)c1;Z3625636069;47
O=C(CO)N1CC(C2(NC(=O)C=3Oc4c(C(=O)C=3)cccc4)CC2)CC1;m_275592____15865248____14135622____15855972;47
O=C(N1CC2=C(NC(=O)CC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992512941;47
Brc1cc2OC(C(=O)NCC(O)C3COCC3)=CC(=O)c2cc1;Z3844066743;48
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(OC(CC)C1)COCCC2;Z3176688807;48
Fc1cc2OC(C(=O)N3C4(C(CO)CC3)CCOCC4)=CC(=O)c2cc1;Z4025349796;49
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)C(C)(C)CCC1;m_272330____13770678____17522432;49
