SMILES of Virtual Hit Molecule;Enamine ID;Rank
FC(F)(F)[C@@H]1[C@@H](NC(=O)C2=C(C)C(=O)c3c(O2)cccc3)[C@@H]2O[C@H]1CC2;Z4094484138;16
Fc1cc2C(=O)C=C(C(=O)N3CC4(CN(C(OC(C)(C)C)=O)CCC4)CC3)Oc2cc1;Z2017904464;16
O=C(Nc1cc2C(=O)C=COc2cc1)N1C2(C(=O)O)COC(C1)C2;m_272330____13770678____13974050;16
Fc1cc2C(=O)C=C(C(=O)N3C4CC(=O)NCC3CCC4)Oc2cc1;Z3750091262;16
Clc1cc2C(=O)C=C(C(=O)N3c4c5c(ccc4)CCCC5CC3)Oc2cc1;Z1555755722;16
O=C(NCC12OC3CC(C1)CC(C2)C3)c1cc2OC=CC(=O)c2cc1;Z3704086790;16
Clc1cc2OC(C(=O)N[C@@]34C5(OC[C@@H]3C4)CCC5)=CC(=O)c2cc1;Z2963780719;16
Clc1cc2C(=O)C=C(C(=O)OC3C(=O)N(c4c(OC)cccc4)CCC3)Oc2cc1;Z1223768991;16
O=C(NCC(O)C1OCCC1)Nc1cc2C(=O)C=COc2cc1;s_2430____13770670____12217594;16
O=C(NC12C(N(CCCO)CC1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14114316____14122416____14147082;17
F[C@H]1[C@H]2N(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)C[C@H]([C@H]2C(=O)OC)C1;Z3913607040;17
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(OC[C@H]3[C@@H]2C3)CCC1;Z3599058896;17
O=C(NCC(O)COc1cc2c(NC(=O)CC2)cc1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z846268722;17
O=C(N1C(C(=O)OC)CCC(C(=O)OC)C1)C=1Oc2c(C(=O)C=1)cccc2;Z2718748279;17
Brc1cc2OC(C(=O)NCC(O)C3COCC3)=CC(=O)c2cc1;Z3844066743;17
Clc1cc2C(=O)C=C(C(=O)N(Cc3ccccc3)CC3(O)C(C)OCC3)Oc2cc1;Z1934850584;17
Brc1cc2OC(C(=O)N3C(C)(C)CCC(O)C3)=CC(=O)c2cc1;Z4094634237;17
Fc1cc2C(=O)C=C(C(=O)N(CC3OCCC3)C3CCC(C)CC3)Oc2cc1;Z1265406108;17
Fc1cc2OC(C(=O)N3C(C(C)(C)C3)C3OCCC3)=CC(=O)c2cc1;Z2178086967;17
